,BID NO,Items,Quantity,Start Date,End Date,Department Name And Address,new_itm
0,GEM/2025/B/6172136,"Amplifier,Digital Signal Proce...",31,2025-04-25 16:41,2025-06-30 09:00,Ministry of Health and Family Welfare Department of Health and Family Welfare,"Amplifier,Digital Signal Processors,Data Video,Network Switch,Wireless Microphone,Encoder,AMX Net l"
1,GEM/2025/B/6365893,Audio Amplifier (V3),10,2025-06-20 15:10,2025-06-30 10:00,Ministry of Railways Indian Railways,Audio Amplifier (V3)
2,GEM/2025/B/6263769,"INTERACTIVE PANEL,OPEN PLUGGAB...",15,2025-06-25 16:00,2025-06-30 10:00,Ministry of Statistics and Programme Implementation Department of Statistics and Programme Implementation,"INTERACTIVE PANEL,OPEN PLUGGABLE SPECIFICATION,DISPLAY UNIT,DESKTOP COMPUTER,PTZ CAMERA,USB CAPTURE"
3,GEM/2025/B/6274153,Video Conferencing Camera / We...,15,2025-06-09 13:03,2025-06-30 13:00,Ministry of Defence Department of Military Affairs,"Video Conferencing Camera / Web Camera (V2),Entry and Mid Level Desktop Computer,High End Desktop C"
4,GEM/2025/B/6364380,Audio Digital Signal Processor...,2,2025-06-20 12:26,2025-06-30 13:00,Ministry of Statistics and Programme Implementation National Sample Survey Office (NSSO),"Audio Digital Signal Processor,Audio Video Cable"
5,GEM/2025/B/6273603,"Interactive Panels with CPU,Vi...",17,2025-06-09 13:08,2025-06-30 13:00,Ministry of Defence Department of Military Affairs,"Interactive Panels with CPU,Video Conferencing Camera / Web Camera (V2),Online UPS (V2),Entry and M"
6,GEM/2025/B/6238269,"PCs,Laptops oblique Ruggdised ...",25,2025-06-09 14:01,2025-06-30 14:00,Ministry of Defence Department of Military Affairs,"PCs,Laptops oblique Ruggdised PCs,HD Studio oblique 360 digree camera with auto zoom facility,Audio"
7,GEM/2025/B/6358861,"AUDIO VISUAL ALARM, 220VAC, SI...",8,2025-06-19 09:27,2025-06-30 14:00,Ministry of Petroleum and Natural Gas NA,"AUDIO VISUAL ALARM, 220VAC, SIREN SYS"
8,GEM/2025/B/6298605,"24-Way SPT Flush,12-Way SPT Fl...",590,2025-06-02 10:39,2025-06-30 14:00,Ministry of Defence Department of Defence Production,"24-Way SPT Flush,12-Way SPT Flush,24-Way SPT bulkhead,24-Way SPT bulkhead mount,24-Way SPT bulkhead"
9,GEM/2025/B/6228629,Av system with Boundary Microp...,1,2025-05-28 16:10,2025-06-30 15:00,Ministry of Petroleum and Natural Gas NA,"Av system with Boundary Microphone, Interactive Display and Audio system"
