,BID NO,Items,Quantity,Start Date,End Date,Department Name And Address,new_itm
0,GEM/2025/B/6322662,"Belt V Ribbed,Suspension Bush ...",47,2025-06-09 08:34,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,"Belt V Ribbed,Suspension Bush Kit,Ignition Cum Steering Lock,Cover Assy Clutch,O Ring Spark Plug,Ga"
1,GEM/2025/B/6211098,"Phenyl,Hand wash detol,Collin,...",691,2025-05-20 15:47,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,"Phenyl,Hand wash detol,Collin,Pochha,Harpic,Dusting cloth,Window curtain,Door curtain,Water bottle,"
2,GEM/2025/B/6252072,Galvanized Steel Barbed Wire f...,1,2025-05-28 13:34,2025-06-30 09:00,Ministry of Home Affairs Central Armed Police Forces,Galvanized Steel Barbed Wire for Fencing (V2) as per IS 278
3,GEM/2025/B/6360056,"Thyroglobulin Cobas,Semen dilu...",537,2025-06-19 09:03,2025-06-30 09:00,Ministry of Labour and Employment NA,"Thyroglobulin Cobas,Semen diluting fluid 250 ml,Calibrator for Hematology anlyzer Erba Elite 580,Ti"
4,GEM/2025/B/6262141,Bio Medical Waste Management S...,33,2025-05-23 10:32,2025-06-30 09:00,Animal Husbandry Department Uttar Pradesh,"Bio Medical Waste Management Service - Per bed basis - Collection, Lifting, Transportation, Treatme"
5,GEM/2025/B/6125563,Goods Transport Service – Per ...,14,2025-05-30 19:19,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,Goods Transport Service – Per Trip based  Service - Machinery & Equipment; Low Bed; 40 to 80 FT T
6,GEM/2025/B/6288625,Bio Medical Waste Management S...,318,2025-05-30 14:49,2025-06-30 09:00,Medical Health and Family Welfare Department Uttar Pradesh,Bio Medical Waste Management Service - Per bed basis - As per Work of Scope; CHC - 08; As per Work 
7,GEM/2025/B/6258217,Bio Medical Waste Management S...,50,2025-05-24 14:49,2025-06-30 09:00,Medical Health and Family Welfare Department Uttar Pradesh,Bio Medical Waste Management Service - Per bed basis - as per scope of work; as per scope of work; 
8,GEM/2025/B/6331865,Bio Medical Waste Management S...,50,2025-06-11 12:29,2025-06-30 09:00,Medical Health and Family Welfare Department Uttar Pradesh,Bio Medical Waste Management Service - Per bed basis - As per Scope of Work; As per Scope of Work; 
9,GEM/2025/B/6344076,Patient Bed (Semi Fowler),52,2025-06-16 12:55,2025-06-30 09:00,Public Health and Family Welfare Department Madhya Pradesh,Patient Bed (Semi Fowler)
10,GEM/2025/B/6295384,Bedding Disposal System,1,2025-06-02 13:50,2025-06-30 09:00,Ministry of AYUSH NA,Bedding Disposal System
11,GEM/2025/B/6322731,Major Kit Clutch Master Cyl Re...,29,2025-06-09 09:09,2025-06-30 10:00,Ministry of Defence Department of Military Affairs,"Major Kit Clutch Master Cyl Repair Kit,Assy Cable Complete,Solenoid Switch,Belt V Ribbed,Gear Lever"
12,GEM/2025/B/6326182,Steel Shelving Cabinets (Adjus...,465,2025-06-17 13:31,2025-06-30 10:00,Ministry of Defence Department of Military Affairs,"Steel Shelving Cabinets (Adjustable Type) confirming to IS 3312 (V4),Steel Shelving Cabinets (Adjus"
13,GEM/2025/B/6359609,Galvanized Steel Barbed Wire f...,24347,2025-06-19 18:54,2025-06-30 10:00,Forest Department Chhattisgarh,Galvanized Steel Barbed Wire for Fencing (V2) as per IS 278
14,GEM/2025/B/6360175,"Bunk Beds as per IS 17636,Bunk...",1316,2025-06-19 09:34,2025-06-30 10:00,Social Welfare Department Karnataka,"Bunk Beds as per IS 17636,Bunk Bed Mattress"
15,GEM/2025/B/6297150,HP 831 B Black and Cyan Head C...,291,2025-06-28 10:00,2025-06-30 10:00,Ministry of Defence Department of Military Affairs,"HP 831 B Black and Cyan Head CZ 677A for HP Latex Machine,HP 831 B Yellow and Magenta Head CZ 677A "
16,GEM/2025/B/6270504,Y Shape Fencing of concertina ...,1,2025-06-06 11:59,2025-06-30 10:00,Ministry of Defence Department of Military Affairs,Y Shape Fencing of concertina coil with barbed wire
