,BID NO,Items,Quantity,Start Date,End Date,Department Name And Address,new_itm
0,GEM/2025/B/6179207,SOLID CURVE TABLE WITH 2 CHAIR...,200,2025-06-02 10:31,2025-06-30 09:00,Ministry of Mines Materials,SOLID CURVE TABLE WITH 2 CHAIRS FOR NURSERY KIDS
1,GEM/2025/B/6227772,Repair of Wooden Desk cum Benc...,894,2025-06-07 20:35,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,"Repair of Wooden Desk cum Bench,Repair of Wooden Office Chair,Computer Table Repair,Steel Table Rep"
2,GEM/2025/B/6223454,"Desktop Computer,UPS Single Ba...",185,2025-06-08 08:05,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,"Desktop Computer,UPS Single Battery With 25 Minute Backup,Computer Chair,Computer Table,Color Ink T"
3,GEM/2025/B/6271118,"Synthetic Volleyball Court,Vol...",14404,2025-05-30 08:53,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,"Synthetic Volleyball Court,Volleyball Court Soling,ASPHALT Work,Chain link Fencing,Volleyball Court"
4,GEM/2025/B/6364522,"Office Chair (V3),Waiting Area...",170,2025-06-20 10:41,2025-06-30 09:00,Department of Higher Education Madhya Pradesh,"Office Chair (V3),Waiting Area / Airport Terminal / Public Place / Reception area Chair or Seat (V2"
5,GEM/2025/B/6342721,"Revolving Chair (V4),Revolving...",26,2025-06-13 18:10,2025-06-30 09:00,Ministry of Finance Department of Financial Services,"Revolving Chair (V4),Revolving Chair (V4),Office Chair (V3),Waiting Area / Airport Terminal / Publi"
6,GEM/2025/B/6270358,Exercise Chair Table,2,2025-05-27 18:01,2025-06-30 09:00,Ministry of Health and Family Welfare Department of Health and Family Welfare,Exercise Chair Table
7,GEM/2025/B/6308814,"Hair Cutting Machine,Big Comb,...",29,2025-06-04 14:24,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,"Hair Cutting Machine,Big Comb,Small Comb,Stainless Steel Scissor for Hair Cutting,Folding Razor Bar"
8,GEM/2025/B/6305316,Foldable Wheelchair (Adult),15,2025-06-03 16:34,2025-06-30 09:00,Ministry of Civil Aviation NA,Foldable Wheelchair (Adult)
9,GEM/2025/B/6300084,"REPAIR AND CLEANING OF SOFA,RE...",175,2025-06-02 16:33,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,"REPAIR AND CLEANING OF SOFA,REPAIR AND CLEANING OF CHAIR"
10,GEM/2025/B/6326182,Steel Shelving Cabinets (Adjus...,465,2025-06-17 13:31,2025-06-30 10:00,Ministry of Defence Department of Military Affairs,"Steel Shelving Cabinets (Adjustable Type) confirming to IS 3312 (V4),Steel Shelving Cabinets (Adjus"
11,GEM/2025/B/6383438,Revolving Chair (V4),20,2025-06-25 15:48,2025-06-30 10:00,Ministry of Finance Department of Revenue,Revolving Chair (V4)
12,GEM/2025/B/6227714,"Heat King Bukhari,Exhaust Fan,...",200,2025-06-28 10:00,2025-06-30 10:00,Ministry of Defence Department of Defence,"Heat King Bukhari,Exhaust Fan,Steel Almirah size of 50 inches x 17 inches x 30 inches,Steel Almirah"
13,GEM/2025/B/6198987,Single Seater Chair with cusho...,29,2025-06-28 10:00,2025-06-30 10:00,Ministry of Defence Department of Military Affairs,"Single Seater Chair with cushoin and Fabric,Modular Table with glass,Cafeteria Chair without Armres"
14,GEM/2025/B/6270751,Executive table for officers a...,94,2025-06-27 15:00,2025-06-30 10:00,Ministry of Defence Department of Defence,"Executive table for officers as per design and specification given in ATC,Executive revolving Chair"
15,GEM/2025/B/6296564,Supply and fixing fiber studen...,30,2025-06-09 11:00,2025-06-30 11:00,PMO Department of Atomic Energy,Supply and fixing fiber student chairs Make Godrej Technical Specifications drawing.
16,GEM/2025/B/6358331,"Writing Pad Chair,Executive Ta...",32,2025-06-19 10:01,2025-06-30 11:00,Medical Education & Research Department Haryana,"Writing Pad Chair,Executive Table (V3)"
17,GEM/2025/B/6337388,Repair and Overhauling Service...,50,2025-06-12 15:45,2025-06-30 11:00,Ministry of Electronics and Information Technology Standardisation Testing and Quality Certification,"Repair and Overhauling Service - Chair Office (V2); Visitor Chair; No; Buyer Premises, Service Prov"
18,GEM/2025/B/6178669,Waiting Area / Airport Termina...,7,2025-05-09 11:38,2025-06-30 11:00,Ministry of Power POWER GRID Corporation OF INDIA Limited,"Waiting Area / Airport Terminal / Public Place / Reception area Chair or Seat (V2),Modular Table / "
19,GEM/2025/B/6348598,Modular Table / Meeting Table ...,1172,2025-06-17 17:06,2025-06-30 11:00,Ministry of Housing & Urban Affairs (MoHUA) Urban Transport,"Modular Table / Meeting Table / Centre Table (V2),Modular Table / Meeting Table / Centre Table (V2)"
20,GEM/2025/B/6346495,Office Chair (V3),12,2025-06-15 07:06,2025-06-30 12:00,Ministry of Railways Indian Railways,Office Chair (V3)
21,GEM/2025/B/6322119,"Axil teeth pully 6 inch Dia,1 ...",264,2025-06-08 11:38,2025-06-30 12:00,Ministry of Defence Department of Military Affairs,"Axil teeth pully 6 inch Dia,1 point 5 inch Angle 20 ft,Njut and Bolt 6 Inch Long,1 point 5 inch pat"
22,GEM/2025/B/6354742,Waiting Area / Airport Termina...,4,2025-06-19 11:58,2025-06-30 12:00,Ministry of Railways Indian Railways,Waiting Area / Airport Terminal / Public Place / Reception area Chair or Seat (V2)
23,GEM/2025/B/6359089,"Revolving Chair (V4),Office Ch...",7,2025-06-19 15:27,2025-06-30 12:00,Energy Department Uttar Pradesh,"Revolving Chair (V4),Office Chair (V3),Revolving Chair (V4)"
24,GEM/2025/B/6365217,ESD Chairs,15,2025-06-20 12:09,2025-06-30 12:00,Ministry of Defence Department of Military Affairs,ESD Chairs
25,GEM/2025/B/6393933,"Head Massage Gun,Camp chair,Ca...",274,2025-06-28 11:30,2025-06-30 12:00,Ministry of Defence Department of Military Affairs,"Head Massage Gun,Camp chair,Camp stool,Wind sock pole,Car Diary,Jk Paper,Envelop,Printed Register"
26,GEM/2025/B/6273280,"Wood screws,Wood screws,Wood s...",4772,2025-06-29 12:00,2025-06-30 12:00,Ministry of Defence Department of Military Affairs,"Wood screws,Wood screws,Wood screws,Wood screws,Wood screws,Wood screws,Wood screws,Wood screws,Cha"
27,GEM/2025/B/6299756,Waiting Area / Airport Termina...,30,2025-06-28 12:00,2025-06-30 12:00,Ministry of Defence Department of Military Affairs,Waiting Area / Airport Terminal / Public Place / Reception area Chair or Seat (V2)
28,GEM/2025/B/5989668,Almirah Medium Steel with Shel...,884,2025-06-29 12:00,2025-06-30 12:00,Ministry of Defence Department of Military Affairs,"Almirah Medium Steel with Shelves FD -1032,Bed Hard Ply Top FD-246,Chair Verandah FD -256,Chair Sch"
29,GEM/2025/B/6365814,"Revolving Chair (V4),Revolving...",14,2025-06-20 12:46,2025-06-30 13:00,Ministry of Defence Department of Defence Production,"Revolving Chair (V4),Revolving Chair (V4),Office Chair (V3)"
30,GEM/2025/B/6383656,Revolving Chair (V4),20,2025-06-25 16:18,2025-06-30 13:00,Ministry of Finance Department of Revenue,Revolving Chair (V4)
31,GEM/2025/B/6361741,Steel Shelving Cabinets (Adjus...,112,2025-06-19 13:06,2025-06-30 13:00,Medical Health and Family Welfare Department Uttar Pradesh,"Steel Shelving Cabinets (Adjustable Type) confirming to IS 3312 (V4),Executive Table (V3),Office Ch"
32,GEM/2025/B/6283291,"Industrial cooling fan,Steel c...",19,2025-06-06 11:06,2025-06-30 13:00,Ministry of Defence Department of Defence,"Industrial cooling fan,Steel chair 03 seater,Air craft maintenance creeper trolley,Office chair non"
33,GEM/2025/B/6205723,Tennis Court with synthetic su...,20,2025-06-29 13:00,2025-06-30 13:00,Ministry of Defence Department of Military Affairs,"Tennis Court with synthetic surface poles and allied accessories,Tennis poles Steel universal with "
