,BID NO,Items,Quantity,Start Date,End Date,Department Name And Address,new_itm
0,GEM/2025/B/6175689,Entry and Mid Level Desktop Co...,12,2025-05-31 08:59,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,Entry and Mid Level Desktop Computer
1,GEM/2025/B/6187237,"High End Desktop Computer,All ...",26,2025-06-09 08:11,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,"High End Desktop Computer,All in One PC (V2)"
2,GEM/2025/B/6345402,High End Desktop Computer,211,2025-06-16 14:01,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,High End Desktop Computer
3,GEM/2025/B/6227772,Repair of Wooden Desk cum Benc...,894,2025-06-07 20:35,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,"Repair of Wooden Desk cum Bench,Repair of Wooden Office Chair,Computer Table Repair,Steel Table Rep"
4,GEM/2025/B/6223454,"Desktop Computer,UPS Single Ba...",185,2025-06-08 08:05,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,"Desktop Computer,UPS Single Battery With 25 Minute Backup,Computer Chair,Computer Table,Color Ink T"
5,GEM/2025/B/6258750,Line Interactive UPS with AVR ...,15,2025-05-27 13:24,2025-06-30 09:00,Food Supplies and Consumer Welfare Department Odisha,"Line Interactive UPS with AVR (V2),Entry and Mid Level Desktop Computer,Multifunction Machine MFM ("
6,GEM/2025/B/6367601,Entry and Mid Level Desktop Co...,10,2025-06-20 18:14,2025-06-30 09:00,Department of Higher Education Madhya Pradesh,"Entry and Mid Level Desktop Computer,Markers for White Board (V2)"
7,GEM/2025/B/6167080,Annual Maintenance Service - D...,147,2025-06-20 08:44,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,"Annual Maintenance Service - Desktops,  Laptops and Peripherals - Desktop PC; Acer,Annual Maintenan"
8,GEM/2025/B/6364522,"Office Chair (V3),Waiting Area...",170,2025-06-20 10:41,2025-06-30 09:00,Department of Higher Education Madhya Pradesh,"Office Chair (V3),Waiting Area / Airport Terminal / Public Place / Reception area Chair or Seat (V2"
9,GEM/2025/B/6364516,Entry and Mid Level Desktop Co...,7,2025-06-20 10:43,2025-06-30 09:00,Department of Higher Education Madhya Pradesh,"Entry and Mid Level Desktop Computer,Markers for White Board (V2)"
10,GEM/2025/B/6367601,Entry and Mid Level Desktop Co...,10,2025-06-20 18:14,2025-06-30 09:00,Department of Higher Education Madhya Pradesh,"Entry and Mid Level Desktop Computer,Markers for White Board (V2)"
11,GEM/2025/B/6193205,"High End Desktop Computer,Comp...",65,2025-05-31 21:28,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,"High End Desktop Computer,Computer Printer (V2),Line Interactive UPS with AVR (V2)"
12,GEM/2025/B/6248708,Desktop Computer,50,2025-05-19 18:03,2025-06-30 09:00,Ministry of Education Department of Higher Education,Desktop Computer
13,GEM/2025/B/6347088,"Sketch Pen (V2),Fluid Correcti...",181,2025-06-15 20:25,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,"Sketch Pen (V2),Fluid Correction Pen (V2),Rollerball Pen (V3),Stamp - Pad Ink as per IS 393,stamp p"
14,GEM/2025/B/6297920,Line Interactive UPS with AVR ...,30,2025-06-01 19:10,2025-06-30 09:00,Urban Local Bodies,"Line Interactive UPS with AVR (V2),Entry and Mid Level Desktop Computer"
15,GEM/2025/B/6371216,Plain Copier Paper (V3) ISI Ma...,2045,2025-06-21 20:32,2025-06-30 09:00,Ministry of Home Affairs Central Armed Police Forces,"Plain Copier Paper (V3) ISI Marked to IS 14490,Register (V2),Register (V2),Register (V2),Exercise N"
16,GEM/2025/B/6286590,Desktop Computers,2,2025-05-29 11:20,2025-06-30 09:00,PMO Department of Atomic Energy,Desktop Computers
17,GEM/2025/B/6160719,"Processor for Desktop,Motherbo...",240,2025-06-06 13:49,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,"Processor for Desktop,Motherboard for Desktop,Switch Mode Power Supply (SMPS) as per IS 14886:"
18,GEM/2025/B/6315663,Desktop Computer,1,2025-06-05 21:56,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,Desktop Computer
19,GEM/2025/B/6315658,"Acer Desktop Computer 12 Gen, ...",2,2025-06-05 21:49,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,"Acer Desktop Computer 12 Gen, i7 Processor, 16 GB RAM, 1 TB SSD, 24 Inch LCD Screen, Window 11 Pro "
20,GEM/2025/B/6297920,Line Interactive UPS with AVR ...,30,2025-06-01 19:10,2025-06-30 09:00,Urban Local Bodies,"Line Interactive UPS with AVR (V2),Entry and Mid Level Desktop Computer"
21,GEM/2025/B/6347088,"Sketch Pen (V2),Fluid Correcti...",181,2025-06-15 20:25,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,"Sketch Pen (V2),Fluid Correction Pen (V2),Rollerball Pen (V3),Stamp - Pad Ink as per IS 393,stamp p"
22,GEM/2025/B/6315663,Desktop Computer,1,2025-06-05 21:56,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,Desktop Computer
23,GEM/2025/B/6315658,"Acer Desktop Computer 12 Gen, ...",2,2025-06-05 21:49,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,"Acer Desktop Computer 12 Gen, i7 Processor, 16 GB RAM, 1 TB SSD, 24 Inch LCD Screen, Window 11 Pro "
