,BID NO,Items,Quantity,Start Date,End Date,Department Name And Address,new_itm
0,GEM/2025/B/6322573,Supply of SLL(120) RDSO/EM/I/N...,680,2025-06-08 21:27,2025-06-30 09:00,Ministry of Railways Indian Railways,Supply of SLL(120) RDSO/EM/I/Norm/01 Ver: 1.0 Date: 18-09-2014 detailed mentioned under ATC.
1,GEM/2025/B/6322560,Supply of Equipment forATWR jo...,1,2025-06-08 21:07,2025-06-30 09:00,Ministry of Railways Indian Railways,Supply of Equipment forATWR joint complete Set &IRD for carting detailed mentioned under ATC.
2,GEM/2025/B/6211098,"Phenyl,Hand wash detol,Collin,...",691,2025-05-20 15:47,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,"Phenyl,Hand wash detol,Collin,Pochha,Harpic,Dusting cloth,Window curtain,Door curtain,Water bottle,"
3,GEM/2025/B/6313568,Telecommunication Cable - Full...,3800,2025-06-05 17:02,2025-06-30 09:00,Ministry of Home Affairs Central Armed Police Forces,"Telecommunication Cable - Fully Filled Petroleum Jelly or Absorbent Thixotropic Gel (V2),Telecommun"
4,GEM/2025/B/6357345,LED Marine Lanterns,50,2025-06-18 13:18,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,LED Marine Lanterns
5,GEM/2025/B/6352085,Manpower Outsourcing Services ...,10,2025-06-17 13:22,2025-06-30 09:00,Ministry of Education Department of School Education and Literacy,"Manpower Outsourcing Services - Minimum wage - Semi-skilled; High School; Others,Manpower Outsourci"
6,GEM/2025/B/6332127,Portable Fire Extinguishers (V...,307,2025-06-17 11:39,2025-06-30 09:00,Ministry of Defence Department of Defence Research & Development,"Portable Fire Extinguishers (V3) as per BS EN Standards,Portable Fire Extinguishers (V3) as per BS "
7,GEM/2025/B/6338289,Temperature controlled solderi...,1,2025-06-18 14:29,2025-06-30 09:00,Ministry of Defence Department of Defence Research & Development,Temperature controlled soldering station
8,GEM/2025/B/6144931,Manpower Outsourcing Services ...,534,2025-06-10 21:00,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,"Manpower Outsourcing Services - Minimum wage - Unskilled; Secondary School; Others,Collection & Dis"
9,GEM/2025/B/6155161,Manpower Outsourcing Services ...,30,2025-06-20 08:20,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,Manpower Outsourcing Services - Minimum wage - Unskilled; Not Required; Others
10,GEM/2025/B/6117467,Manpower Outsourcing Services ...,2,2025-05-17 20:20,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,Manpower Outsourcing Services - Minimum wage - Skilled; Secondary School; Admin
11,GEM/2025/B/6216408,"Dry Chemical Powder,Synthetic ...",599,2025-05-09 14:57,2025-06-30 09:00,Ministry of Defence Department of Defence,"Dry Chemical Powder,Synthetic Liquid Detergent,Cloth Flanet,Cloth Emery,Cloth Terry Flax Cotton,Clo"
12,GEM/2025/B/6182069,"Complete Handball Court,Synthe...",2258,2025-06-03 12:01,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,"Complete Handball Court,Synthetic surface,Court Line Marking,Handball Goal post,Net Nylon double si"
13,GEM/2025/B/6380207,Manpower Outsourcing Services ...,2,2025-06-24 19:13,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,Manpower Outsourcing Services - Minimum wage - Unskilled; Secondary School; Healthcare
14,GEM/2025/B/6194811,Manpower Outsourcing Services ...,54,2025-06-13 14:42,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,"Manpower Outsourcing Services - Minimum wage - Unskilled; High School; Others,Manpower Outsourcing "
15,GEM/2025/B/6265925,Led disply,1,2025-05-23 10:53,2025-06-30 09:00,Ministry of Health and Family Welfare Department of Health Research,Led disply
16,GEM/2025/B/6243138,"LED Luminaire for Flood Light,...",12,2025-05-29 16:23,2025-06-30 09:00,PMO Department of Atomic Energy,"LED Luminaire for Flood Light, Flame Proof (V2)"
17,GEM/2025/B/6328730,Manpower Outsourcing Services ...,1,2025-06-10 15:38,2025-06-30 09:00,Industries and Commerce Department Tripura,Manpower Outsourcing Services - Minimum wage - Unskilled; Not Required; Others
18,GEM/2025/B/6374622,AMC of Integrated Security and...,1,2025-06-23 16:00,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,AMC of Integrated Security and Surveillance System - AMC FOR CCTV SYSTEM INSTALLED; Comprehensive; 
19,GEM/2025/B/6342836,Manpower Outsourcing Services ...,7,2025-06-13 17:21,2025-06-30 09:00,Ministry of Health and Family Welfare Directorate General of Health Services,"Manpower Outsourcing Services - Minimum wage - Semi-skilled; High School; Admin,Manpower Outsourcin"
20,GEM/2025/B/6341142,Manpower Outsourcing Services ...,6,2025-06-13 14:32,2025-06-30 09:00,Ministry of Health and Family Welfare Directorate General of Health Services,Manpower Outsourcing Services - Minimum wage - Unskilled; Not Required; Others
21,GEM/2025/B/6343212,Manpower Outsourcing Services ...,120,2025-06-13 18:17,2025-06-30 09:00,Panchayati Raj Department Uttar Pradesh,Manpower Outsourcing Services - Man-days based - Others; Unskilled; Sweeper
22,GEM/2025/B/6322739,Manpower Outsourcing Services ...,8,2025-06-09 11:25,2025-06-30 09:00,Ministry of Railways Indian Railways,Manpower Outsourcing Services - Minimum wage - Skilled; Diploma; Admin
23,GEM/2025/B/6302135,"Rear shock type 943,Left hand ...",94,2025-06-03 01:07,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,"Rear shock type 943,Left hand double bre brake CA,Right hand double bore brake C,RR LFT Hand dual b"
24,GEM/2025/B/6337033,Manpower Outsourcing Services ...,2,2025-06-12 14:49,2025-06-30 09:00,Ministry of Finance Department of Revenue,Manpower Outsourcing Services - Minimum wage - Unskilled; Not Required; Others
25,GEM/2025/B/6322293,Customized AMC/CMC for Pre-own...,1,2025-06-08 13:56,2025-06-30 09:00,Ministry of Defence Department of Defence Research & Development,Customized AMC/CMC for Pre-owned Products - LED DISPLAY P6; USPL UDDS-P6; Comprehensive Maintenance
26,GEM/2025/B/6326458,LED Luminaire for Road and Str...,300,2025-06-10 09:33,2025-06-30 09:00,NA,LED Luminaire for Road and Street Lights (V2) Conforming to IS 10322 (Part 5 / Section 3)
27,GEM/2025/B/6380155,Portable Sealed Rechargeable S...,154,2025-06-24 18:50,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,Portable Sealed Rechargeable Single Cells - Nickel - Metal Hydride (Rechargeable Batteries) as per 
28,GEM/2025/B/6342272,"Chaff Cutter,Self Propelled We...",54,2025-06-16 13:59,2025-06-30 09:00,Department of Agriculture and Bio Technology,"Chaff Cutter,Self Propelled Weeder"
29,GEM/2025/B/6358029,Manpower Outsourcing Services ...,52,2025-06-18 15:27,2025-06-30 09:00,Ministry of Defence Department of Defence Production,"Manpower Outsourcing Services - Minimum wage - Unskilled; High School; Others,Manpower Outsourcing "
30,GEM/2025/B/6322739,Manpower Outsourcing Services ...,8,2025-06-09 11:25,2025-06-30 09:00,Ministry of Railways Indian Railways,Manpower Outsourcing Services - Minimum wage - Skilled; Diploma; Admin
