,BID NO,Items,Quantity,Start Date,End Date,Department Name And Address,new_itm
0,GEM/2025/B/6027332,Samsung galaxy z fold smartpho...,1,2025-03-06 11:17,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,Samsung galaxy z fold smartphone
1,GEM/2025/B/6158374,"CONTROL PANEL(IOQ),CONTROL PAN...",2,2025-05-10 08:23,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,"CONTROL PANEL(IOQ),CONTROL PANEL(PROTO)"
2,GEM/2024/B/5460486,CNC Glass Cutting Machine,1,2024-10-01 15:58,2025-06-30 09:00,Ministry of Micro Small and Medium Enterprises Ministry of Micro Small and Medium Enterprises,CNC Glass Cutting Machine
3,GEM/2025/B/6178057,Catering service (Event Based)...,50,2025-04-28 15:03,2025-06-30 09:00,Ministry of Education Department of School Education and Literacy,Catering service (Event Based) - BREAKFAST LUNCH SNACKS DINNER; BOTH; Regular Buffet
4,GEM/2025/B/6122221,EC6002B-D8301797 (TSR40/2 I/O ...,4,2025-04-30 11:29,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,"EC6002B-D8301797 (TSR40/2 I/O BOARD),EC6002B-D8302816A (ELECTRONIC CARD TVM932/N10)"
5,GEM/2025/B/6201946,"Repair, Maintenance, and Insta...",1,2025-05-06 21:37,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,"Repair, Maintenance, and Installation of Plant/ Systems/Equipments (Version 2) - ONBOARD INS JALASH"
6,GEM/2025/B/6312292,AIR NITROGEN CYLINDER ADAPTER,4,2025-06-05 11:26,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,AIR NITROGEN CYLINDER ADAPTER
7,GEM/2025/B/6176195,Computer Printer (V2),14,2025-05-31 08:53,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,Computer Printer (V2)
8,GEM/2025/B/6176162,Line Interactive UPS with AVR ...,24,2025-05-31 08:56,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,Line Interactive UPS with AVR (V2)
9,GEM/2025/B/6175689,Entry and Mid Level Desktop Co...,12,2025-05-31 08:59,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,Entry and Mid Level Desktop Computer
10,GEM/2025/B/6208935,"Refrigerator Double Door, Capa...",1,2025-06-05 08:56,2025-06-30 09:00,PMO Department of Atomic Energy,"Refrigerator Double Door, Capacity 340 Liters"
11,GEM/2025/B/6303335,"CBS AOF,KYC Form,SB 103,SB7,SB...",127568500,2025-06-03 15:08,2025-06-30 09:00,Ministry of Communications Department of Posts,"CBS AOF,KYC Form,SB 103,SB7,SB7A,SB7B,SB7C,PLI Proposal,RPLI Proposal,PLI2,LI7A,RPLI Register,SB26T"
