,BID NO,Items,Quantity,Start Date,End Date,Department Name And Address,new_itm
0,GEM/2025/B/6271639,Portable Inflatable Emergency ...,1,2025-06-02 08:43,2025-06-30 09:00,Ministry of Mines Materials,Portable Inflatable Emergency Lighting
1,GEM/2025/B/6179207,SOLID CURVE TABLE WITH 2 CHAIR...,200,2025-06-02 10:31,2025-06-30 09:00,Ministry of Mines Materials,SOLID CURVE TABLE WITH 2 CHAIRS FOR NURSERY KIDS
2,GEM/2025/B/6302290,Lignocaine HCl 2 percent witho...,45783,2025-06-05 13:02,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,"Lignocaine HCl 2 percent without Adrenalin 30 ml Inj suitable for ophthalmic use also,Lignocaine HC"
3,GEM/2025/B/6332127,Portable Fire Extinguishers (V...,307,2025-06-17 11:39,2025-06-30 09:00,Ministry of Defence Department of Defence Research & Development,"Portable Fire Extinguishers (V3) as per BS EN Standards,Portable Fire Extinguishers (V3) as per BS "
4,GEM/2025/B/6211098,"Phenyl,Hand wash detol,Collin,...",691,2025-05-20 15:47,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,"Phenyl,Hand wash detol,Collin,Pochha,Harpic,Dusting cloth,Window curtain,Door curtain,Water bottle,"
5,GEM/2025/B/6085194,"Bupivacaine Injection (V2),Lab...",7720,2025-04-09 12:45,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,"Bupivacaine Injection (V2),Labetalol Injection,Acyclovir Tablets (V2),Dobutamine Injection,Norethis"
6,GEM/2025/B/6227772,Repair of Wooden Desk cum Benc...,894,2025-06-07 20:35,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,"Repair of Wooden Desk cum Bench,Repair of Wooden Office Chair,Computer Table Repair,Steel Table Rep"
7,GEM/2025/B/6223454,"Desktop Computer,UPS Single Ba...",185,2025-06-08 08:05,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,"Desktop Computer,UPS Single Battery With 25 Minute Backup,Computer Chair,Computer Table,Color Ink T"
8,GEM/2025/B/6305389,"NQ Adopter Coupling,NQ Locking...",720,2025-06-09 17:30,2025-06-30 09:00,Ministry of Coal COAL INDIA LIMITED,"NQ Adopter Coupling,NQ Locking Coupling,NQ Over shot Assembly,NQ Inner Tube Assembly,NQ Wireline Do"
9,GEM/2025/B/6304224,"Hiring Charges Instr,Registrat...",28,2025-06-08 08:47,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,"Hiring Charges Instr,Registration and Certification Charge,Stationary Items,Study materials,Thin Cl"
10,GEM/2025/B/6257586,Tablet Computer (V2),1,2025-05-29 11:01,2025-06-30 09:00,Ministry of Education Department of Higher Education,Tablet Computer (V2)
11,GEM/2025/B/6345028,OT Table positioning Pads,10,2025-06-19 08:47,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,OT Table positioning Pads
12,GEM/2025/B/6244475,ELECTRONIC BALANCE PLATFORM SI...,8,2025-05-22 09:17,2025-06-30 09:00,Ministry of Steel Rashtriya Ispat Nigam Limited,"ELECTRONIC BALANCE PLATFORM SIZE 600MM X600 MM CAP 0-150 KG 50GM ACCURACY,ELECTRONIC BALANCE SINGLE"
