,BID NO,Items,Quantity,Start Date,End Date,Department Name And Address,new_itm
0,GEM/2025/B/6321960,"Brown Paint,Black Paint,White ...",164,2025-06-08 22:23,2025-06-30 09:00,Ministry of Defence Department of Military Affairs,"Brown Paint,Black Paint,White Paint,Lime or Chuna,Thinner,Paint Flat Writing Brush No 12,White Dist"
1,GEM/2025/B/6305627,Test Equipment Calibration Whi...,8,2025-06-03 17:01,2025-06-30 09:00,Ministry of Defence Department of Defence,"Test Equipment Calibration White Board Size 3.5 Feet X 4 Feet,Ground Support Equipment White Board "
2,GEM/2025/B/6371216,Plain Copier Paper (V3) ISI Ma...,2045,2025-06-21 20:32,2025-06-30 09:00,Ministry of Home Affairs Central Armed Police Forces,"Plain Copier Paper (V3) ISI Marked to IS 14490,Register (V2),Register (V2),Register (V2),Exercise N"
3,GEM/2025/B/6358331,"Writing Pad Chair,Executive Ta...",32,2025-06-19 10:01,2025-06-30 11:00,Medical Education & Research Department Haryana,"Writing Pad Chair,Executive Table (V3)"
4,GEM/2025/B/6314143,"File/Folder (V3),Manual Pencil...",2311,2025-06-09 11:56,2025-06-30 12:00,M.P.P. and Power Department Himachal Pradesh,"File/Folder (V3),Manual Pencil Sharpener (V3),File/Folder (V3),File/Folder (V3),Notesheet (Azure La"
5,GEM/2025/B/6337497,Desk Pads - Writing (V2),4000,2025-06-12 15:32,2025-06-30 12:00,Ministry of Finance Department of Financial Services,Desk Pads - Writing (V2)
6,GEM/2025/B/6320335,"Desk Pads - Writing (V2),Regis...",1355,2025-06-16 12:45,2025-06-30 13:00,Ministry of Labour and Employment Employees State Insuarnce Corporation,"Desk Pads - Writing (V2),Register (V2),Register (V2),Register (V2),Register (V2),Register (V2),Regi"
7,GEM/2025/B/6299399,"Paint Black,Golden Brown Paint...",57,2025-06-29 14:00,2025-06-30 14:00,Ministry of Defence Department of Military Affairs,"Paint Black,Golden Brown Paint,White Paint,Red Paint,OG Paint,Trapent Oil,Paint Brush,Writing Brush"
8,GEM/2025/B/6292530,Dry Erase Writing Boards (V3),50,2025-06-28 14:00,2025-06-30 14:00,Ministry of Education Department of School Education and Literacy,Dry Erase Writing Boards (V3)
9,GEM/2025/B/6328057,"3 in 1 Exercise Notebook,Cartr...",9054,2025-06-23 14:45,2025-06-30 15:00,Ministry of Defence Department of Military Affairs,"3 in 1 Exercise Notebook,Cartridge (Drawing) Paper as per IS 1848 (Part 2),Desk Pads - Writing (V2)"
10,GEM/2025/B/6137843,"Rollerball Pen (V3),Rollerball...",22170,2025-06-28 15:00,2025-06-30 15:00,Ministry of Electronics and Information Technology Department of Electronics and Information Technology,"Rollerball Pen (V3),Rollerball Pen (V3),Rollerball Pen (V3),Register (V2),Register (V2),Pencil box,"
11,GEM/2025/B/5993496,"Almirah Med steel FD-1032,Chai...",274,2025-06-28 17:00,2025-06-30 17:00,Ministry of Defence Department of Military Affairs,"Almirah Med steel FD-1032,Chair Dining FD -279,Chair Easy FD-229,Table writing FD-275,Almirah large"
12,GEM/2025/B/6323360,"TATA 1212 Hub Oil Seal Outer,T...",444,2025-06-09 11:31,2025-06-30 18:00,Ministry of Home Affairs Central Armed Police Forces,"TATA 1212 Hub Oil Seal Outer,TATA 1212 Hub Oil Seal Inner,TATA 1212 Front hub oil seal,TATA 1212 Oi"
13,GEM/2025/B/6164661,Supply of shelter part for Sto...,8,2025-04-23 19:40,2025-06-30 18:00,Ministry of Defence Department of Military Affairs,"Supply of shelter part for Store shelter,Supply of construction material for hardstanding approx 10"
